Origin_Name,Dest_ID,Dest_Name,EA,AM,MD,PM,EV,Zone
SFO-4th and King,2,4th and King,0,0,0,0,0,1
22nd St,2,4th and King,0,15,0,7,2,1
Bayshore,2,4th and King,1,28,2,4,0,1
South San Francisco,2,4th and King,2,45,9,48,0,1
San Bruno,2,4th and King,23,95,7,43,11,1
Millbrae,2,4th and King,14,265,32,88,9,2
Burlingame,2,4th and King,4,186,8,49,29,2
San Mateo,2,4th and King,0,452,34,204,30,2
Hayward Park,2,4th and King,3,31,10,74,0,2
Hillsdale,2,4th and King,24,921,30,196,18,2
Belmont,2,4th and King,4,86,12,82,13,2
San Carlos,2,4th and King,0,166,12,91,0,2
Redwood City,2,4th and King,43,740,74,267,30,2
Menlo Park,2,4th and King,0,266,40,220,39,3
Palo Alto,2,4th and King,14,900,142,1082,93,3
California Ave,2,4th and King,10,323,39,194,59,3
San Antonio,2,4th and King,0,204,34,112,21,3
Mountain View,2,4th and King,14,1250,67,740,61,3
Sunnyvale,2,4th and King,0,1489,53,165,19,3
Lawrence,2,4th and King,0,118,6,45,0,4
Santa Clara,2,4th and King,0,145,22,44,4,4
College Park,2,4th and King,0,0,0,0,0,4
San Jose Diridon,2,4th and King,29,1437,80,277,21,4
Tamien,2,4th and King,12,413,1,10,0,4
Capitol,2,4th and King,0,0,0,0,0,5
Blossom Hill,2,4th and King,0,17,0,0,0,5
Morgan Hill,2,4th and King,0,37,0,0,0,5
San Martin,2,4th and King,0,0,0,0,0,6
Gilroy,2,4th and King,0,28,0,0,0,6